DateTime,IUCR,Arrest,Domestic,Beat,District,Ward,Community,Year
07/02/2002 09:30:32 PM,0460,false,false,0134,001,3,33,2002
07/02/2002 09:31:38 PM,2027,true,false,1333,012,27,28,2002
07/02/2002 09:35:00 PM,1345,false,false,2211,022,19,72,2002
07/02/2002 09:39:53 PM,2012,true,false,2112,002,3,35,2002
07/02/2002 09:40:00 PM,0460,true,false,1831,018,42,8,2002
07/02/2002 09:40:00 PM,0460,false,false,0423,004,10,46,2002
07/02/2002 09:42:11 PM,1661,true,false,2433,024,48,77,2002
07/02/2002 09:43:09 PM,0486,false,false,0825,008,15,66,2002
07/02/2002 09:45:00 PM,0486,false,true,0323,003,6,69,2002
07/02/2002 09:45:00 PM,0530,false,true,0324,003,8,43,2002
07/02/2002 09:47:54 PM,0486,false,false,0815,008,23,56,2002
07/02/2002 09:48:11 PM,2027,true,false,0313,003,20,42,2002
07/02/2002 09:50:00 PM,143A,true,false,1313,012,1,24,2002
07/02/2002 09:50:00 PM,0460,true,true,0334,003,7,43,2002
07/02/2002 09:50:00 PM,2027,true,false,1011,010,24,29,2002
07/02/2002 09:50:06 PM,0860,true,false,0815,008,23,62,2002
07/02/2002 09:52:27 PM,0530,false,false,0233,002,20,40,2002
07/02/2002 09:55:00 PM,0420,false,false,0411,004,8,43,2002
07/02/2002 09:55:00 PM,2820,false,false,2012,020,40,77,2002
07/02/2002 09:55:00 PM,0820,true,false,1924,019,44,6,2002
07/02/2002 09:55:00 PM,0810,false,false,1532,015,28,25,2002
07/02/2002 09:55:00 PM,0486,false,true,1331,012,2,27,2002
07/02/2002 09:57:05 PM,0460,false,false,0124,001,42,32,2002
07/02/2002 09:57:17 PM,0460,false,false,0821,008,14,57,2002
07/02/2002 10:00:00 PM,1330,true,false,0734,007,17,67,2002
07/02/2002 10:00:00 PM,2027,true,false,1022,010,24,29,2002
07/02/2002 10:00:00 PM,1310,false,false,1411,014,33,21,2002
07/02/2002 10:00:00 PM,0910,false,false,2213,022,21,73,2002
07/02/2002 10:00:00 PM,1320,false,false,1633,016,38,17,2002
07/02/2002 10:00:00 PM,2024,true,false,0334,003,7,43,2002
07/02/2002 10:00:00 PM,0810,false,false,0224,002,3,38,2002
07/02/2002 10:00:00 PM,2825,false,false,0912,009,14,58,2002
07/02/2002 10:00:00 PM,1320,false,false,0912,009,14,58,2002
07/02/2002 10:00:00 PM,1320,false,false,1123,011,28,27,2002
07/02/2002 10:00:00 PM,0910,false,false,1434,014,1,24,2002
07/02/2002 10:00:00 PM,0610,false,false,0231,002,3,38,2002
07/02/2002 10:00:00 PM,0820,false,false,2423,024,49,1,2002
07/02/2002 10:00:00 PM,0430,false,false,0424,004,10,46,2002
07/02/2002 10:00:00 PM,0460,false,false,0932,009,16,61,2002
07/02/2002 10:00:00 PM,0810,false,false,0331,003,5,43,2002
07/02/2002 10:00:00 PM,0910,false,false,0912,009,14,58,2002
07/02/2002 10:00:00 PM,0820,false,false,0531,005,9,50,2002
07/02/2002 10:00:00 PM,1310,false,false,0813,008,13,64,2002
07/02/2002 10:00:00 PM,0890,false,false,0124,001,42,32,2002
07/02/2002 10:00:00 PM,0610,false,false,0823,008,15,66,2002
07/02/2002 10:00:00 PM,0430,false,false,1125,011,2,28,2002
07/02/2002 10:00:00 PM,1320,false,false,1634,016,38,15,2002
07/02/2002 10:01:23 PM,0560,false,false,2533,025,37,25,2002
07/02/2002 10:03:15 PM,0560,false,false,1211,012,2,28,2002
07/02/2002 10:03:48 PM,0486,false,true,0634,006,21,44,2002
07/02/2002 10:05:00 PM,1811,true,false,0921,009,16,61,2002
07/02/2002 10:06:57 PM,0460,false,false,1134,011,28,27,2002
07/02/2002 10:10:00 PM,1310,false,false,0424,004,10,46,2002
07/02/2002 10:10:00 PM,0320,false,false,0611,006,21,71,2002
07/02/2002 10:10:00 PM,0486,true,true,2123,002,4,39,2002
07/02/2002 10:10:00 PM,1310,false,false,2234,022,34,75,2002
07/02/2002 10:12:00 PM,0820,false,false,0423,004,7,46,2002
07/02/2002 10:15:00 PM,2027,true,false,0824,008,14,63,2002
07/02/2002 10:15:00 PM,1320,false,false,0533,005,9,54,2002
07/02/2002 10:15:00 PM,1811,true,false,0825,008,15,66,2002
07/02/2002 10:15:00 PM,1320,false,false,2422,024,49,1,2002
07/02/2002 10:15:00 PM,143A,true,false,0532,005,9,53,2002
07/02/2002 10:15:00 PM,1506,true,false,0322,003,20,69,2002
07/02/2002 10:16:05 PM,1320,true,false,1223,012,25,31,2002
07/02/2002 10:16:34 PM,0499,true,false,0223,002,3,38,2002
07/02/2002 10:17:38 PM,1310,false,false,0512,005,9,49,2002
07/02/2002 10:20:00 PM,0915,false,false,1032,010,22,30,2002
07/02/2002 10:20:00 PM,1506,true,false,0313,003,20,42,2002
07/02/2002 10:20:00 PM,1506,true,false,0522,005,9,53,2002
07/02/2002 10:20:00 PM,1506,true,false,0312,003,20,69,2002
07/02/2002 10:21:34 PM,0320,false,false,0421,004,7,43,2002
07/02/2002 10:21:54 PM,0460,false,false,0232,002,3,40,2002
07/02/2002 10:22:56 PM,0460,false,false,2213,022,21,73,2002
07/02/2002 10:25:00 PM,0910,false,false,2011,020,40,4,2002
07/02/2002 10:25:00 PM,1812,true,false,1411,014,35,21,2002
07/02/2002 10:25:00 PM,0460,false,false,1931,019,32,6,2002
07/02/2002 10:25:00 PM,0486,false,true,0424,004,10,46,2002
07/02/2002 10:26:49 PM,0810,false,false,0825,008,15,66,2002
07/02/2002 10:27:11 PM,0486,true,true,2525,025,26,22,2002
