DateTime,IUCR,Arrest,Domestic,Beat,District,Ward,Community,Year
1/1/2013 0:01,1754,TRUE,FALSE,2522,25,31,20,2013
1/1/2013 0:01,1562,FALSE,FALSE,922,9,12,58,2013
1/1/2013 0:01,1752,TRUE,FALSE,1413,14,35,22,2013
1/1/2013 0:01,1754,FALSE,FALSE,223,2,4,38,2013
1/1/2013 0:01,0842,FALSE,FALSE,2232,22,34,73,2013
1/1/2013 0:01,0460,FALSE,FALSE,823,8,15,66,2013
1/1/2013 0:01,1055,TRUE,FALSE,622,6,21,71,2013
1/1/2013 0:01,1153,FALSE,FALSE,923,9,14,63,2013
1/1/2013 0:01,1751,TRUE,FALSE,912,9,11,59,2013
1/1/2013 0:01,0281,FALSE,FALSE,1711,17,39,12,2013
1/1/2013 0:01,1153,FALSE,FALSE,621,6,17,69,2013
1/1/2013 0:01,2820,FALSE,FALSE,733,7,17,68,2013
1/1/2013 0:01,1153,FALSE,FALSE,815,8,23,57,2013
1/1/2013 0:01,1153,FALSE,FALSE,1012,10,24,29,2013
1/1/2013 0:01,1752,FALSE,TRUE,1524,15,37,25,2013
1/1/2013 0:01,1153,FALSE,FALSE,222,2,4,39,2013
1/1/2013 0:01,0841,FALSE,FALSE,212,2,4,35,2013
1/1/2013 0:01,0890,FALSE,FALSE,1924,19,44,6,2013
1/1/2013 0:01,1155,FALSE,FALSE,334,3,7,43,2013
1/1/2013 0:01,1562,FALSE,FALSE,1532,15,28,25,2013
1/1/2013 0:01,1752,FALSE,FALSE,2522,25,31,19,2013
1/1/2013 0:01,1563,FALSE,FALSE,611,6,17,71,2013
1/1/2013 0:01,0840,FALSE,FALSE,412,4,8,45,2013
1/1/2013 0:01,0910,FALSE,FALSE,823,8,15,66,2013
1/1/2013 0:01,1153,FALSE,FALSE,821,8,14,57,2013
1/1/2013 0:01,0810,FALSE,FALSE,823,8,16,66,2013
1/1/2013 0:01,0840,FALSE,FALSE,1533,15,28,25,2013
1/1/2013 0:01,0281,FALSE,FALSE,1012,10,24,29,2013
1/1/2013 0:01,1153,FALSE,FALSE,631,6,6,44,2013
1/1/2013 0:01,0460,TRUE,FALSE,2033,20,46,3,2013
1/1/2013 0:01,1153,FALSE,FALSE,433,4,10,52,2013
1/1/2013 0:01,1754,FALSE,FALSE,1823,18,27,8,2013
1/1/2013 0:01,1753,FALSE,FALSE,414,4,8,46,2013
1/1/2013 0:01,1152,FALSE,FALSE,1933,19,44,6,2013
1/1/2013 0:01,1153,FALSE,FALSE,2234,22,34,75,2013
1/1/2013 0:01,0840,FALSE,FALSE,2533,25,37,25,2013
1/1/2013 0:01,0840,FALSE,FALSE,131,1,2,33,2013
1/1/2013 0:01,0843,FALSE,FALSE,1712,17,39,14,2013
1/1/2013 0:01,1154,FALSE,FALSE,834,8,18,70,2013
1/1/2013 0:01,0840,FALSE,FALSE,2222,22,21,73,2013
1/1/2013 0:01,1153,FALSE,FALSE,623,6,6,69,2013
1/1/2013 0:01,1320,FALSE,FALSE,1213,12,27,24,2013
1/1/2013 0:01,1754,FALSE,FALSE,1511,15,29,25,2013
1/1/2013 0:01,1562,FALSE,FALSE,934,9,16,61,2013
1/1/2013 0:01,1153,FALSE,FALSE,1231,12,2,28,2013
1/1/2013 0:01,141A,TRUE,FALSE,523,5,34,53,2013
1/1/2013 0:01,1154,FALSE,FALSE,2525,25,31,20,2013
1/1/2013 0:01,0840,FALSE,FALSE,725,7,15,67,2013
1/1/2013 0:01,1562,FALSE,FALSE,2422,24,49,1,2013
1/1/2013 0:01,031A,FALSE,FALSE,825,8,15,66,2013
1/1/2013 0:01,0266,FALSE,TRUE,413,4,8,48,2013
1/1/2013 0:01,1752,FALSE,FALSE,812,8,13,64,2013
1/1/2013 0:01,1153,FALSE,FALSE,813,8,13,65,2013
1/1/2013 0:01,0870,FALSE,FALSE,1631,16,36,17,2013
1/1/2013 0:01,1752,FALSE,FALSE,2532,25,37,25,2013
1/1/2013 0:01,1563,FALSE,FALSE,422,4,7,46,2013
1/1/2013 0:01,1753,FALSE,FALSE,212,2,4,36,2013
1/1/2013 0:01,1310,FALSE,FALSE,324,3,8,43,2013
1/1/2013 0:01,1153,FALSE,FALSE,213,2,3,38,2013
1/1/2013 0:01,1751,FALSE,FALSE,332,3,5,43,2013
1/1/2013 0:01,1155,FALSE,TRUE,324,3,5,43,2013
1/1/2013 0:01,1754,FALSE,FALSE,2523,25,35,21,2013
1/1/2013 0:01,1754,FALSE,FALSE,933,9,20,61,2013
1/1/2013 0:01,1751,FALSE,FALSE,313,3,20,42,2013
